HotelName,Date of review,Rating,Title,Description,Date of stay,Trip type,Room Tip
Royal Plaza on Scotts,Jan-20,5,Great hotel great location,My wife and I stayed here for 3 nights and gave it a top rating because for the money I think it is a great hotel. We were toying with paying substantially more to stay at the Marina Bay Sands but glad we picked this instead. The rooms are a good size and quiet which was important for us and the location was just off Orchard road with a short walk to the MRT station. The taxi ride from the airport was 30 minutes and I downloaded the GRAB app so the cost was only $20. We didnâ€™t end up using the pool or gym but both looked good for a city centre hotel.,Jan-20,Travelled as a couple,
Royal Plaza on Scotts,Apr-20,3,Staycation during Covid-19,"We booked a one night stay at this hotel to chill out and shop along Orchard Road on a weekday which we seldom have the chance to do during normal days. The S$198 price tag comes with breakfast for 2 at the highly acclaimed Carousel Cafe and also free access to the Premier Lounge so we thought it was quite a good deal. The location was great especially after a long day of shopping and dinner. We didnâ€™t use the pool as it was small and boring. The premier lounge was a disappointment as there were only machine coffee, teabags, machine soft drinks, peanuts/potato chips and some biscuits. No finger food, alcohol or can drinks that you can bring back to your room. The room was small but ok, the aircon has a damp smell but we bear with it. Carousel is grossly over-rated, as the breakfast spread wasnâ€™t impressive. All-in I think we got our S$198 worth of hotel stay in Singapore, nothing more and nothing less.â€¦",Mar-20,Travelled as a couple,
Royal Plaza on Scotts,Jan-20,3,What a let Down!,"This is not the first time my husband and I chose The Royal Plaza. We came back to it because of the pleasant memories we had in the past. However, our recent stay was disappointing. When we checked in, we were told in a stern tone by the check-in staff that we had not paid so they took a fairly large amount from our credit card. When we insisted that we had paid through our agent, we were told that the hotel is unaware of this. Later, we went back to sort this out and another staff asked to photocopy our itinerary and said that they will try to sort it out. All this with not even a friendly tone or reassuring smile. We then emailed our agent who swiftly sorted everything out for us and informed us via email. Unfortunately, the hotel did not even assure us of this.   Each day when we went for breakfast, we felt like interlopers as they took down our room number to double check whether we were entitled for breakfast. All staff had a glum expression except for this warm and lovely female staff, Kasturi at the Premium lounge. She served with gusto and really made us feel welcome.  We are checking into the hotel again on our way home from another holiday. You may ask why we are returning to the Royal Plaza? The location is fabulous and for the obvious reason that we pre-booked everything a few months back so it's a case of 'ignorance is bliss'.  We hope to feel more welcome on our return in a few days' time or we will definitely re-consider not staying at this once endearing hotel.â€¦",Dec-19,,
Royal Plaza on Scotts,Feb-20,5,What the Duck Staycation!!!,Value for money deal not to be missed by Singaporeans who want to get away amidst COVID-19. They take care of you and ensure social responsibility is looked into with temperature screening and contact tracing.,Feb-20,,
Royal Plaza on Scotts,Feb-20,5,Pleasant Layover in Royal Plaza on Scotts,"Overall, very happy with my choice of hotel. I stayed at the Royal Plaza on the recommendation from my sister in law, who stays regularly when working in Singapore Management Institute. I was well pleased.",Feb-20,,
Royal Plaza on Scotts,Feb-20,5,Will only stay here,"The location was amazing, walking distance to all the prime locations, the utilities are new and well kept, the staff are really friendly and helpful, and the restaurant is a halal restaurant, also they provide FREE pocket wifi which makes the whole experience worth it! Thank you!",Feb-20,,
Royal Plaza on Scotts,Jan-20,4,Opposite of grand hyat,"In the heart of singapore, near to MRT orchard , without rain effect of walking tourist, this hotel is perfect for surounding orchard, opoosite of grand hyatt and far eastplaza, room is spacious, rain shower, deep sleep bed, branded bathbamenities, big lobby , very good breakfast, fast check in and express check out, 250 Sin$ is similar pleasure, free internet room, value 8/10",Jan-20,,
Royal Plaza on Scotts,Jan-20,4,Good and comfortable stay,"Booked and stay the Royal Plaza on Scotts Corporate Suite. The room was huge to accommodate me and my guests. The room is clean and comfortable, with a big bathroom and super King bed. Will definitely stay again in the future.",Jan-20,,
Royal Plaza on Scotts,Jan-20,4,Good clean hotel conveniently located near to shopping district,Pleasant Hotel with comfortable beds and friendly staff but a little lacking in character or atmosphere. Ok for an overnight stay but would personally prefer somewhere that you can relax in with a little more going on than the uninspiring but efficient public areas,Jan-20,,
Royal Plaza on Scotts,Jan-20,3,Dissatisfy,Dissatisfied  This time it was surprisingly dissatisfied.no action was taken regarding an unnecessary situation at the breakfast buffet even after we complained.we have been staying der fr 9 years and we were expecting more then wt they provided this time .,Jan-20,,
Royal Plaza on Scotts,Jan-20,5,Our stay,"A very nice hotel to stay in, from our arrival the staff were very  helpful and friendly, Its handy location to Orchard Road and other locations makes it an ideal venue.  Rooms Very clean and comfortable beds,",Jan-20,,
Royal Plaza on Scotts,Nov-20,3,Very average !,"I am posting the review again as in my fury posted with a new profile and not my existing one ðŸ˜‚  Yes, they goofed up big time with my food on my first day of stay at home quarantine , did not serve me dinner till 10 pm instead of 6 to 7 pm and delayed my grab food delivery by 30 mins rendering it tasteless and cold   That was very disappointing but on the balance once I have calmed down the  rest :  rooms are ok , view is sad, staff at check in very courteous and quality of in room amnesties above average , sometimes the standard meals pretty good so on the balance they are average and not as bad as I initially blurred out   Makes you realise services are very perceptive and how you handle moments of truth frames the users experience and rating of you..Wonâ€™t be paying my ownâ€¦",Nov-20,,
Royal Plaza on Scotts,Mar-20,5,Thank you!,"The rooms were spacious and clean, and the beds were comfortable! My family had a wonderful staycation with Royal Plaza on Scotts ! Thank you for your warm hospitality and service! We look forward to come.back once again! ðŸ˜„",Mar-20,,
Royal Plaza on Scotts,Jan-20,4,Holiday,"Bath tub should be equipped w mobile/detachable shower head for the ease of showering young kid, which I specifically asked for during booking via email but was told none of premier room has it upon check in. Hence a bit of disappointment.",Dec-19,,
Royal Plaza on Scotts,Mar-20,5,Fantastic stay!,Fantastic stay with a superb breakfast! The hotel is conveniently located in the heart of the shopping area in Orchard Road. The dining experience for breakfast and dinner exceeded our expectations and we will return for another stay.,Mar-20,,
Royal Plaza on Scotts,Mar-20,5,Great property  at a prime location,The property is beautifully built and is at a prime location. Less than 3 km from Little India. There are shopping places nearby the hotel as well. Amenities are very nice. Comfortable family stay. The hotel wifi ws also nice.,Feb-20,,
Royal Plaza on Scotts,Feb-20,5,Very good,"Recommended hotels, best price performance, location near top notch mall, have a personal bus stop station, near MRT station, near movie theaters, my experience, I can check in start from 9am without additional  payment what a surprise...",Feb-20,,
Royal Plaza on Scotts,Sep-20,3,Validity of vouchers,"Good things first: I love this place! This hotel has a great reputation, nice food (Carousel you're great!), and convenient location. Personally, I've not stayed here before but I've visited the Carousel buffet a couple of times, and it never fails to impress me.  Now unfortunately the bad: I've had some vouchers that I have been intending to redeem, but unfortunately due to covid, I was unable to visit the hotel. As the vouchers were expiring in November, I wrote to roomres for help in extending the validity during July 2020, hoping that the hotel will understand my concerns.  The roomres team requested for a photo of my vouchers so that they can ask their management for approval, which I gladly obliged, thinking all was good, as they said that they understood my concerns.  Inâ€¦",Sep-20,,
Royal Plaza on Scotts,Mar-20,1,"Queue-cation, not staycation","I booked 3 rooms for a family staycation. Unfortunately much of my stay was spent in crowded queues - queue for check in, queue for breakfast.   Safe- distancing was not observed and I truly felt concerned and guilty for exposing my family to increased health risk by booking this stay at Royal Plaza at Scotts.  Management could have planned in advance to increase front office capacity and allocated additional breakfast venues - given the high bookings they have received during the March holidays and in view of government social distancing measures.  I ended up foregoing the inclusive breakfast and checked out early at 10am - for the sake of my familyâ€™s health.... and pushed financial considerations aside  Poor crowd control and planning - not what we need to help us fight theâ€¦",Mar-20,,
Royal Plaza on Scotts,Feb-20,5,Good pick for a 3 day stay in Singapore,"We wanted a good quality hotel located near the MRT and were pleased with our stay here. You can get the MRT from Changi to Orchard which is 200m from the hotel, or the 36 bus which drops off just around the corner, maybe 400m or a metered taxi which at 8pm cost us $s40 and the GRAB car back at 8pm cost $s22. Download the GRAB app before you go (just like UBER). Make sure you get a tourist travel card from the MRT ticket office as this is very cheap to use for your stay and the MRT and buses are very efficient. The staff were excellent, our room on the 3rd floor was comfortable, just a couple of comments - common to most hotels there is no drawer space so you live out of a suitcase. The listing sold a 'free mini bar' which is in fact just water - that needs to be changed. Theâ€¦",Feb-20,,
Royal Plaza on Scotts,Jan-20,5,Excellent Hotel,"From the moment we were greeted at the door until the doorman hailed our departing taxi the service, staff, facilities, breakfast buffet were superb.  The room was large, bathroom included a bath, the bed was the most comfortable I have ever slept in, the pool was clean and towels were provided, staff very friendly, polite and always happy to help.",Jan-20,,
Royal Plaza on Scotts,Nov-20,1,Terrible Despicable Horrible ! Royal ****,"I checked in for my Quarantine SHM stay , the first day never got food for dinner   Delivery time of 7.30 nothing came by 9 pm , ordered on grab food , they lost my food or the staff ate it..Ha ha   The modest royal hotel in KL where I did my quarantine in KL is 10x better then this bunch of idiots   Just as I was typing my original meal arrived no sign of my grab delivery yet",Nov-20,,
Royal Plaza on Scotts,Mar-20,3,Okay-ish hotel with good staff,"Royal Plaza on Scotts is surely not a 5 star hotel, the pool is really *small* and rooms are just standard size. Check-in process is efficient even though there is big weekend crowd. Likewise, another long queue for breakfast over weekend, but the staff managed this crowd well.  For those with young children and especially thinking of staycation - the swimming pool size would be big disappointment. Also, there are NO KIDS CHANNELS on TV and NO other amenities like Children play-rooms etc.  Few other letdowns are the not-so-clean bedsheets, much-hyped 'free mini bar' that comes with 2 bottles of water and 2 small cups of juice, gym with half of the equipment under maintenance. The room given to us doesn't have any view, but the hotel is in city center - so can't complain much. â€¦",Mar-20,,
Royal Plaza on Scotts,Jan-20,4,Good experience,Location was excellent. Staff was helpful and services were very good. Room service was quick unlike most hotels. Room was clean and comfortable and the only place i know who provides a free mini bar.,Jan-20,,
Royal Plaza on Scotts,Mar-20,4,Great for staycation,"Good location, spacious room. Comfortable bed, nothing much to complain about the room.  Could improve on crowd control, the queue for the breakfast buffet and check out was really long. May want to consider express checkout service for local guests.",Mar-20,,
Royal Plaza on Scotts,Mar-20,5,Great location,Royal Plaza on Scotts is a lovely hotel in a great location. Close to Orchard Road and conveniently close to shopping malls restaurants and the hop on hop off bus. the staff were helpful and friendly and nothing was too much trouble. We really enjoyed our stay.,Mar-20,,
Royal Plaza on Scotts,Jan-20,5,great,ultra clean room with plenty of space and brand spanking new.  The restaurant looked very busy all the time and seems to be having high awards. staff efficient and location great.  recommended for couples and singles.,Jan-20,,
Royal Plaza on Scotts,Feb-20,3,Not a kid friendly hotel.,"No kids channel on tv and problem with AC, hot water and wifi..  other than that, location is great! At the heart of Orchard road. Booked  a suite n wishEd it was slightly more bigger.  Hotel staffs are friendly and smiley.",Feb-20,,
Royal Plaza on Scotts,Mar-20,4,Great Stay,"Excellent stay at the hotel. Will always look forward to return. Another thing great about this hotel was, it has a halal restaurant called Carousel, which is perfect! Good location, near the exciting malls and great to just walk around Orchard.",Feb-20,,
Royal Plaza on Scotts,Mar-20,5,Perfect venue for staycation,"Location is amazing, as itâ€™s located at prime Orchard road. Room is newly renovated and spacious, and the bed was divine! Breakfast at carousel was a treat and service staff was friendly and  approachable. Definitely will stay here again!",Mar-20,,
